# m c logL logPrior
-2.754358281797996710e+01 -5.326026032165701807e+00 -6.738679809052624740e+06 -3.793244772254606545e+00
-2.882014841702903851e+01 4.677716002053612598e+00 -6.640193139453977346e+06 -4.153004773897906787e+00
-2.600661239362728239e+01 -2.482044931007030275e+00 -5.935716046068517491e+06 -3.381719440961841183e+00
3.415169532569529309e+01 -5.406509974195802926e+00 -5.777302280148459598e+06 -5.831691468095589137e+00
-2.623158386206858950e+01 5.862975697809543973e+00 -5.535328978460564278e+06 -3.440479959563686574e+00
-2.397918484626745084e+01 -8.330593181767600441e-01 -5.070606140677229501e+06 -2.875006529457313054e+00
-2.244035380342121044e+01 -7.634986808405447078e+00 -4.888646141230991110e+06 -2.517847394113604143e+00
-2.215049888291892444e+01 -7.193473174353670174e+00 -4.761429199310747907e+06 -2.453223003810962588e+00
-2.183833029104806300e+01 -9.082562677172298038e+00 -4.753524613199364394e+06 -2.384563349504537300e+00
-2.254484834887735545e+01 -1.237806448637474688e+00 -4.581887629110013135e+06 -2.541350935369389941e+00
-2.179718603544372257e+01 -6.099412003787274550e+00 -4.579120320894312114e+06 -2.375586595318713634e+00
3.104452190570772530e+01 -6.598303887197324080e+00 -4.568925759031206369e+06 -4.818811701769834421e+00
-2.254535476590639576e+01 1.480687303041478553e-01 -4.509639076712157577e+06 -2.541465107602891127e+00
-2.135069471413038400e+01 -5.557130078964826581e+00 -4.397420595359044150e+06 -2.279260823879975639e+00
-2.127668313810685419e+01 -6.024351014311570829e+00 -4.396532087940345518e+06 -2.263486226797002399e+00
-2.203119099690395188e+01 -7.178923439969819853e-01 -4.378695657773312181e+06 -2.426866883710308453e+00
-2.289853226431096900e+01 8.262498305256054110e+00 -4.217705694270675071e+06 -2.621713899298452333e+00
-2.046162484688755967e+01 -5.416434580409815069e+00 -4.093473060199838597e+06 -2.093390456873831962e+00
-2.226051209063478353e+01 6.864016765999920722e+00 -4.075838658028057311e+06 -2.477651992686487503e+00
-1.971002127821553529e+01 -9.750871533601532803e+00 -4.065171813162453938e+06 -1.942424693938545666e+00
-2.104821864958303479e+01 -5.807566857308259500e-01 -4.044913893683793489e+06 -2.215137541603275473e+00
-1.964761550689700442e+01 -9.379759684088524452e+00 -4.026216067861233838e+06 -1.930143975534298173e+00
-2.065860408679689186e+01 -1.099748018573141639e+00 -3.944158689120093361e+06 -2.133889614075105801e+00
-2.207743871626066934e+01 8.832857434512600747e+00 -3.921713697891167831e+06 -2.437066501351228265e+00
-1.980651532250420388e+01 -5.746480243125135168e+00 -3.897653455999435391e+06 -1.961490246102968849e+00
-1.913322274439815729e+01 -8.494447042718817897e+00 -3.817529918297207449e+06 -1.830401062933774803e+00
-2.131080232432086419e+01 7.350660423437215485e+00 -3.748325492897862103e+06 -2.270751478531397360e+00
2.684042276181763143e+01 4.352883029092730283e+00 -3.725063328264066949e+06 -3.602041470165489923e+00
-1.909548385924831493e+01 -2.804293026538880795e+00 -3.535484937297183555e+06 -1.823187519094064513e+00
2.805294144861453276e+01 -8.013699394392428843e+00 -3.527655501697600354e+06 -3.934837619596976754e+00
-1.872256357971565777e+01 -4.751160232165882569e+00 -3.512288400159999728e+06 -1.752671934982476198e+00
-1.785679786201702868e+01 -9.899588373001503072e+00 -3.489526680767657701e+06 -1.594326149424679651e+00
-1.798554522590078619e+01 -8.942466185761698938e+00 -3.483805202066133730e+06 -1.617399185364612579e+00
2.764574729572900935e+01 -7.935411336178322728e+00 -3.408322623432873283e+06 -3.821436717696538921e+00
-1.923636907164759435e+01 2.179685850285943083e+00 -3.351204990482300986e+06 -1.850189475303200659e+00
-1.992099613674636061e+01 8.829289426037055577e+00 -3.260548701847045682e+06 -1.984230435401317161e+00
-1.814603145209450119e+01 -3.756034171492661500e-01 -3.145317413781200536e+06 -1.646392287302014479e+00
2.563063741529632011e+01 -4.784759889575456171e-01 -3.143101821124789305e+06 -3.284647871571938271e+00
-1.858653297777097180e+01 3.167252335301661503e+00 -3.118580520735587925e+06 -1.727296040668839128e+00
-1.933612698989364276e+01 8.929421605178069044e+00 -3.087491726880434435e+06 -1.869429034846466831e+00
-1.939930580242894465e+01 9.385548776329365239e+00 -3.086275806637309492e+06 -1.881665328080766697e+00
-1.783784070417979351e+01 -7.954356794509811479e-01 -3.075391297081677709e+06 -1.590942804938467292e+00
-1.635028089741697244e+01 -9.982763574103929116e+00 -3.052364953390122857e+06 -1.336658427122191961e+00
-1.728780387301006627e+01 -3.391270733500310719e+00 -3.031290570263203699e+06 -1.494340813758309183e+00
-1.910325653050799488e+01 9.751133752105493713e+00 -2.987471857941487338e+06 -1.824672050351981767e+00
-1.725810970985977377e+01 -2.053309101887128563e+00 -2.965839886130956002e+06 -1.489211753787781145e+00
-1.889409368803973166e+01 9.697465409335070063e+00 -2.931399845401665196e+06 -1.784933881462114291e+00
-1.720938947831705335e+01 -1.265134497687272930e+00 -2.919044938683184329e+06 -1.480815431082048717e+00
-1.881916447561767214e+01 9.661231478047849208e+00 -2.912136056500957347e+06 -1.770804757801750728e+00
-1.607183360038230902e+01 -7.828928611573509500e+00 -2.881957211738173850e+06 -1.291519176391888735e+00
-1.798206293220953000e+01 5.262697045551510300e+00 -2.861397014166996814e+06 -1.616772936489720092e+00
2.460991965289186822e+01 -9.559037566436616729e-01 -2.837068916021784302e+06 -3.028240726608967037e+00
-1.606979495795516755e+01 -5.784217625075052993e+00 -2.795637622243915219e+06 -1.291191549953606632e+00
-1.769002966891765283e+01 5.427808850168475807e+00 -2.775254685777762905e+06 -1.564685748435933998e+00
2.412264173119899624e+01 4.905023018306922111e-01 -2.763857279459659476e+06 -2.909509220458916801e+00
2.360464863182326667e+01 3.842491659588640474e+00 -2.760809730288171209e+06 -2.785897185159180278e+00
2.353270660916126999e+01 4.079545262781786086e+00 -2.751138139039341826e+06 -2.768941401764312360e+00
-1.747047697632200425e+01 5.652312498322964451e+00 -2.707372850299101323e+06 -1.526087828900986265e+00
-1.586507131745315569e+01 -4.678612532843949623e+00 -2.695232865974997636e+06 -1.258502439539374240e+00
-1.624153341893934765e+01 -1.796756787767010977e+00 -2.678563106854565907e+06 -1.318937038992618049e+00
-1.780049430217266959e+01 8.614891327387123710e+00 -2.678189313176636118e+06 -1.584287987008408338e+00
-1.765206518010938197e+01 8.233467727645225054e+00 -2.653855607684198767e+06 -1.557977025614150302e+00
-1.760103812275319157e+01 8.339323532065764155e+00 -2.636285164169619326e+06 -1.548982714993055954e+00
2.313654720419283350e+01 3.686576820496181739e+00 -2.629977446399854030e+06 -2.676499082659216100e+00
-1.474521639394863293e+01 -9.899644772153450845e+00 -2.611890383318494074e+06 -1.087107032521857475e+00
-1.588400975770839985e+01 -2.231386654251064527e+00 -2.601812400560698006e+06 -1.261508829914878227e+00
-1.666887065495263798e+01 3.272713561268596472e+00 -2.589767512661325280e+06 -1.389256244557706133e+00
-1.516225741322404552e+01 -6.082604660028159138e+00 -2.567095927222960163e+06 -1.149470249324337612e+00
-1.685252238457188412e+01 5.147132357090965726e+00 -2.564624563148987014e+06 -1.420037553612482073e+00
2.221708071347102376e+01 7.752463668190925361e+00 -2.551944576039060485e+06 -2.467993377144430678e+00
-1.710813595093284434e+01 7.710187319537073591e+00 -2.532187225631442387e+06 -1.463441578578004165e+00
-1.544354372802470188e+01 -3.347721123186430781e+00 -2.531593832960357890e+06 -1.192515214397055656e+00
-1.597339712773494469e+01 2.974642342883582202e-01 -2.525555157820500899e+06 -1.275747079001654960e+00
-1.504183536859443038e+01 -5.462570241763961221e+00 -2.511449642461498734e+06 -1.131284056279491690e+00
-1.563358321544477647e+01 -1.524425205947793849e+00 -2.509116879729391076e+06 -1.222044620771183254e+00
-1.572796589976596771e+01 3.649370292374802816e-01 -2.460145225960207637e+06 -1.236844556721005572e+00
-1.680989330364329248e+01 7.974413231293103088e+00 -2.445966601300003938e+06 -1.412862564399358201e+00
-1.483762879080815722e+01 -3.579153643989844813e+00 -2.386619905664579943e+06 -1.100776140669095682e+00
-1.545332569179246107e+01 7.970539683104944650e-01 -2.374506085504204966e+06 -1.194026374683064828e+00
-1.526634506196764995e+01 -5.393223441539740648e-02 -2.359933458394083194e+06 -1.165306457755320269e+00
-1.457510696591283761e+01 -4.306880510357072644e+00 -2.348892773389183916e+06 -1.062168715339004699e+00
-1.394535770594215585e+01 -8.056997770381848056e+00 -2.335697313224158715e+06 -9.723650077334013986e-01
-1.619035886357700704e+01 6.805857037206520133e+00 -2.334183526767521631e+06 -1.310638600657032971e+00
-1.555815754232441961e+01 2.778785814890636807e+00 -2.326461976509106811e+06 -1.210281330558931279e+00
-1.595585918716003349e+01 5.751340596074682843e+00 -2.314971151192720979e+06 -1.272947212002396133e+00
2.115337525008346375e+01 8.359686843925855371e+00 -2.306991666607205756e+06 -2.237326422354218192e+00
-1.528706601286835465e+01 1.513924030914713725e+00 -2.306492683227291796e+06 -1.168471936408973955e+00
-1.626284399880176679e+01 8.824848414678424291e+00 -2.278516457404161803e+06 -1.322400474646812985e+00
-1.413241263885025312e+01 -4.831031898561771953e+00 -2.259756711417023093e+06 -9.986254349736719549e-01
-1.473293561086703107e+01 -8.824911280343992193e-01 -2.259455501888099592e+06 -1.085296958569769377e+00
-1.578894291749904966e+01 6.288642941833498590e+00 -2.254523662128690165e+06 -1.246453592260216903e+00
-1.517858886402957275e+01 2.266226129017104185e+00 -2.252260948108770419e+06 -1.151947799516212623e+00
-1.466771748799555297e+01 -8.134795088573110178e-01 -2.241057459895164706e+06 -1.075709681538252971e+00
2.232625679329823498e+01 -1.621622332067752748e+00 -2.223770320365665946e+06 -2.492308712001478188e+00
-1.504292235774855158e+01 2.698835680254137337e+00 -2.203726819759294856e+06 -1.131447565306256120e+00
-1.387102141275527778e+01 -4.998830291675061765e+00 -2.202727159832728561e+06 -9.620261751655770910e-01
2.064398867907437207e+01 8.208237728043700443e+00 -2.177802995109658688e+06 -2.130871342908754240e+00
-1.315366027244520453e+01 -8.507691085317794943e+00 -2.160460304375587963e+06 -8.650938928145162077e-01
-1.526224290078095081e+01 5.462993254922312580e+00 -2.157331933532824274e+06 -1.164680291812192792e+00
-1.379412488774426748e+01 -4.036155679790086381e+00 -2.149119937443726230e+06 -9.513894070934290070e-01
-1.529327039135523947e+01 5.950969876827633342e+00 -2.147448752066014800e+06 -1.169420596315514427e+00
-1.297215679413105605e+01 -9.085150049684516560e+00 -2.138623281998463441e+06 -8.413842594576025347e-01
-1.387465322174172933e+01 -2.948531308561961772e+00 -2.128841684022335336e+06 -9.625300101179405932e-01
2.235761952995648727e+01 -5.044956671588056274e+00 -2.109712414689311292e+06 -2.499315755231458880e+00
-1.376971723710132167e+01 -2.877222437867222204e+00 -2.101549526441754308e+06 -9.480255639486263597e-01
2.036482940019583410e+01 7.919596961767465970e+00 -2.101152864314569160e+06 -2.073631382495403130e+00
-1.489715813034188585e+01 4.711514801370119798e+00 -2.097517553249512333e+06 -1.109626601802056634e+00
-1.303196876628528678e+01 -7.368946331031565045e+00 -2.090172351655626204e+06 -8.491610496271763120e-01
2.265339866648283973e+01 -7.904923800610156981e+00 -2.080177438413000898e+06 -2.565882355713032137e+00
-1.312703683960024748e+01 -6.259884045198438329e+00 -2.072430470783797558e+06 -8.615954809411102699e-01
-1.287230346523267244e+01 -7.758507404824617204e+00 -2.066951237633198965e+06 -8.284809825052054100e-01
-1.337750929638413488e+01 -4.263457173093540220e+00 -2.059385248498750385e+06 -8.947887748742199276e-01
-1.357646209761591649e+01 -2.718150515672155265e+00 -2.050766750337996054e+06 -9.216016154400077376e-01
-1.370068583796112094e+01 -1.791073738459378895e+00 -2.046847856847986113e+06 -9.385439621525422105e-01
-1.333959056023920908e+01 -3.957586011028739748e+00 -2.039733147628226550e+06 -8.897233815741151242e-01
-1.379367179720318681e+01 -9.496932994904185854e-01 -2.038795567038210807e+06 -9.513269082447929348e-01
-1.373530173242709829e+01 -8.896568438780166899e-01 -2.023211746921867598e+06 -9.432925684040742720e-01
-1.528905777770235552e+01 9.864156702011989353e+00 -2.011402985011749202e+06 -1.168776438649604454e+00
2.057577486349251572e+01 3.806345628413944304e+00 -2.004196365249848226e+06 -2.116812556165652559e+00
-1.517702016621910488e+01 9.857615772803454135e+00 -1.985977129119385500e+06 -1.151709705629106795e+00
-1.284440399856150528e+01 -5.485861762291808219e+00 -1.979824052856286522e+06 -8.248935703913138351e-01
2.148887596541466394e+01 -3.222474155611293689e+00 -1.971295175682137953e+06 -2.308858951284879613e+00
-1.381965970718656322e+01 1.398141658357192174e+00 -1.963404083661379293e+06 -9.549149721121789058e-01
-1.254678825575276591e+01 -6.060414995496414825e+00 -1.932426491023805924e+06 -7.871094776734776088e-01
-1.408960928441935856e+01 4.133351039623255119e+00 -1.931664206561312545e+06 -9.925854489379808410e-01
2.065100853663254199e+01 1.140728178837294493e+00 -1.929590452699601185e+06 -2.132320767900350411e+00
-1.480742600213253191e+01 9.503647015027148370e+00 -1.914169493499373551e+06 -1.096299324043152890e+00
-1.266465363108972042e+01 -4.003234968061309296e+00 -1.888102830905611860e+06 -8.019672579773701182e-01
2.055489349775368524e+01 3.987366654127340593e-01 -1.883077549933959730e+06 -2.112518233519983468e+00
-1.240310601301771420e+01 -5.318591769723708396e+00 -1.874816229414514732e+06 -7.691851938507809905e-01
2.104549458309271870e+01 -3.632591909842142641e+00 -1.858225948371432489e+06 -2.214564211234924862e+00
-1.387836105856116298e+01 5.514590160614233127e+00 -1.838865980345790042e+06 -9.630445283589347261e-01
-1.241076868139701794e+01 -3.893232109554006559e+00 -1.828315042211686959e+06 -7.701358963157253212e-01
-1.355846878362056529e+01 3.717120266036419096e+00 -1.827491381297225365e+06 -9.191603787820666893e-01
-1.195951897018989030e+01 -6.526479879237125914e+00 -1.818129019638865720e+06 -7.151504699916593211e-01
-1.359859495494087689e+01 4.302085814577641720e+00 -1.817151032758730929e+06 -9.246089237427173035e-01
-1.418699592231617856e+01 8.355867111190409702e+00 -1.814344870187987573e+06 -1.006354266499079442e+00
-1.241728534023532404e+01 -3.412871749807152355e+00 -1.813675562692047097e+06 -7.709448761041154397e-01
-1.360500557424625256e+01 4.531268123495044264e+00 -1.811086652487100102e+06 -9.254808833763579212e-01
2.008984108201576291e+01 1.240454611419787856e+00 -1.808597952121081064e+06 -2.018008573503241809e+00
-1.361478249735598922e+01 4.683003495397358051e+00 -1.808285611079568043e+06 -9.268115122515547810e-01
-1.204532508066900220e+01 -5.282821034499443513e+00 -1.795110886120633455e+06 -7.254492814949685675e-01
-1.169118109164726604e+01 -7.574299125026590751e+00 -1.794974303333372809e+06 -6.834185765884529529e-01
-1.208479344595949279e+01 -4.918462899906273833e+00 -1.791528191233644262e+06 -7.302111631575274320e-01
-1.333661010220137655e+01 3.979530986411159432e+00 -1.770743637165266322e+06 -8.893258450906990076e-01
2.015808583122317899e+01 -4.229222027359629266e-01 -1.769151570222754031e+06 -2.031742121894803077e+00
-1.303988923698587143e+01 2.214109040924495453e+00 -1.763797376321383985e+06 -8.501935565642998460e-01
1.949197215054714150e+01 3.470145460234475898e+00 -1.752285672243522713e+06 -1.899684891588526714e+00
-1.216829812648592224e+01 -3.101339020107809041e+00 -1.749535540126840817e+06 -7.403373964752039127e-01
